brand,model_slug,text,rating,cleaned_review,sentiment_score,sentiment_label
ATHER,450x,Ather is really reliable and a well performing bike with his reputation as I have this bike for a long time and till date it has been very reliable with accurate range on screen.....,4.7,ather really reliable well performing bike reputation bike long time till date reliable accurate range screen,0.3353,Positive
ATHER,450x,My friend buy this scooter and we use it on a daily basis to travel here and there the scooter is greater it is quite reliable and efficient but the battery has started to drain.....,3.5,friend buy scooter use daily basis travel scooter greater quite reliable efficient battery started drain,0.8307,Positive
ATHER,450x,There is no problem in buying the ather 450x because the thing wich is use is full high quality and premium and best ev in the wold . It tel exact milage in the display so that.....,5.0,problem buying ather 450x thing wich use full high quality premium best ev wold tel exact milage display,0.3612,Positive
ATHER,450x,Best electric bike. Singe charge gives more milage Han other bike compare to this. I have this bike more than 8month. I recommend this bike to all my friends. I love this bike.....,4.7,best electric bike singe charge gives milage han bike compare bike 8month recommend bike friends love bike,0.9325,Positive
ATHER,450x,"I bought ather 450x, exactly 2 years ago, in December 2022 Overall experience is good. Till now there are no problems 4 services done, total cost combined of 4 services comes.....",4.3,bought ather 450x exactly 2 years ago december 2022 overall experience good till problems 4 services done total cost combined 4 services comes,0.0516,Positive
ATHER,450x,"A perfect scooter for daily use, it has good range, charging time is minimal, looks of the scooter is very compact and modern, which makes it the first choice of young users, it.....",5.0,perfect scooter daily use good range charging time minimal looks scooter compact modern makes first choice young users,0.765,Positive
ATHER,450x,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",,riding scrambler 400x overall rewarding experience bike strong person retro modern design definitely turns heads build quality field premium something expect triumph finish tank body top notch performance wise 398cc single cylinder engine packs decent punch smooth refined enough grunt city light offroad suspension tires made light offroad ride yeah indian roads actually light offroad best complaint noticed cons 1 noticeable engine shim noise issue nothing bike still irritates riding also spoken brand said normal something expect brand like triumph 2 indicators tail tidy feels low quality indicators got water intake raining washing within days purchase also indicators faded within months even small hit pillion foot enough indicators break excluding cons one best budget premium scrambler ever segment,0.9842,Positive
ATHER,450x,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,,superb bike price use daily rutiene bike also long rout milage good trust prefer whose people want daily routine work like field job porter daily works trust bike want milage,0.9493,Positive
ATHER,450x,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good ðŸ‘ ðŸ‘Œ. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike ðŸ . I will appreciate for your hard work ðŸ™ â¤ï¸ ðŸ’ª.,,good bike appearance speed shoot offf reading one best bike ever seen texture dezing lining etc good thanks honour launch bike india thanks team member made goges bike appreciate hard work,0.9607,Positive
ATHER,450x,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also ðŸ‘Œ good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raiderðŸ‘,,tvs raider best bike price range excellent companies bikes range range milage bike better engine also good looks bike glamorous give personality bikes many people neighbors already bikes recommend people bikea good bike tvs raider,0.9698,Positive
ATHER,450x,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650â€™s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",,bought bike 6 months ago done almost 9000km bike running smooth little little bit modification exhaust sounds better re650 € good performance comfortable mileage good enough 650cc motorcycle anyone looking 650 would recommend take test ride goldstar regret,0.8678,Positive
ATHER,450x,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",,riding scrambler 400x overall rewarding experience bike strong person retro modern design definitely turns heads build quality field premium something expect triumph finish tank body top notch performance wise 398cc single cylinder engine packs decent punch smooth refined enough grunt city light offroad suspension tires made light offroad ride yeah indian roads actually light offroad best complaint noticed cons 1 noticeable engine shim noise issue nothing bike still irritates riding also spoken brand said normal something expect brand like triumph 2 indicators tail tidy feels low quality indicators got water intake raining washing within days purchase also indicators faded within months even small hit pillion foot enough indicators break excluding cons one best budget premium scrambler ever segment,0.9842,Positive
ATHER,450x,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,,superb bike price use daily rutiene bike also long rout milage good trust prefer whose people want daily routine work like field job porter daily works trust bike want milage,0.9493,Positive
ATHER,450x,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good ðŸ‘ ðŸ‘Œ. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike ðŸ . I will appreciate for your hard work ðŸ™ â¤ï¸ ðŸ’ª.,,good bike appearance speed shoot offf reading one best bike ever seen texture dezing lining etc good thanks honour launch bike india thanks team member made goges bike appreciate hard work,0.9607,Positive
ATHER,450x,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also ðŸ‘Œ good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raiderðŸ‘,,tvs raider best bike price range excellent companies bikes range range milage bike better engine also good looks bike glamorous give personality bikes many people neighbors already bikes recommend people bikea good bike tvs raider,0.9698,Positive
ATHER,450x,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650â€™s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",,bought bike 6 months ago done almost 9000km bike running smooth little little bit modification exhaust sounds better re650 € good performance comfortable mileage good enough 650cc motorcycle anyone looking 650 would recommend take test ride goldstar regret,0.8678,Positive
ATHER,rizta,"I purchased highest model ""Z SUPER MATTE-3.7 KwH"". I ride it 8 month ups. Ather & Arai giving wrong information about Mileage. they say 160km/1 time charge. when in reality Rizta.....",4.0,purchased highest model z super matte37 kwh ride 8 month ups ather arai giving wrong information mileage say 160km1 time charge reality rizta,0.4939,Positive
ATHER,rizta,This is a nice ev scooty comfortable and safe easy to use also gives a good mileage and charges in 6-7 hours good to use can even used for delivery and rapido purpose nice product.....,4.2,nice ev scooty comfortable safe easy use also gives good mileage charges 67 hours good use even used delivery rapido purpose nice product,0.9545,Positive
ATHER,rizta,Very good family scooter good staff and a practical scooter fulfills my needs it gives me a good riding range. The scooter has a spacious boot and the colours are very good the.....,4.7,good family scooter good staff practical scooter fulfills needs gives good riding range scooter spacious boot colours good,0.9118,Positive
ATHER,rizta,This E bike give good km mileage in one charge. It is very comfortable in case of riding. For safety purpose it is also good and it is also have fast charging feature. It is.....,4.7,e bike give good km mileage one charge comfortable case riding safety purpose also good also fast charging feature,0.8979,Positive
ATHER,rizta,Great ev from ather one of the best in the segment performs at least 115 km per charge and the ride quality is optimum fo city chores overall nice ev it's the best I could've.....,4.5,great ev ather one best segment performs least 115 km per charge ride quality optimum fo city chores overall nice ev best couldve,0.946,Positive
ATHER,rizta,Best scooter among the segment I think it's range could be better but it's best Compared from other scooters this scooter in this segment offer the disk breaks which is different.....,4.8,best scooter among segment think range could better best compared scooters scooter segment offer disk breaks different,0.9062,Positive
ATHER,rizta,"I bought Ather Rizta from MST Motors, Aizawl, on 9th September 2024 and have ridden around 3600 km in six months. I had been wanting an Electric Scooter for a while, but the.....",4.0,bought ather rizta mst motors aizawl 9th september 2024 ridden around 3600 km six months wanting electric scooter,0.0,Neutral
ATHER,rizta,Wonderful service by ather Already provided Fast charging station in nearby area Thanks ather to build this kind of ev scooter. Very suitable for Indian family and built.....,4.8,wonderful service ather already provided fast charging station nearby area thanks ather build kind ev scooter suitable indian family built,0.875,Positive
ATHER,rizta,"I purchased this new scooter from shree sai taj energy Ca road nagpur two months ago, now scooter is not starting and not even showing on display completely blank, Showroom owner.....",1.5,purchased new scooter shree sai taj energy ca road nagpur two months ago scooter starting even showing display completely blank showroom owner,0.2732,Positive
ATHER,rizta,Very nice bike and good milage very comfortable e bike I very like ather e bike Very smooth running experience Colour options many looking a smart bike and desining very.....,5.0,nice bike good milage comfortable e bike like ather e bike smooth running experience colour options many looking smart bike desining,0.9217,Positive
ATHER,rizta,The ride experience is very good When u drive you just fly with the air. Best part of the vehicle is the riding modes I also drive the old ather ev i am happy with that But.....,4.8,ride experience good u drive fly air best part vehicle riding modes also drive old ather ev happy,0.8957,Positive
ATHER,rizta,Overall a good scooter ! The build quality is amazing as compared to competition like ola and tvs ! This goes amazing and well if you are looking for roghu and though and a.....,4.7,overall good scooter build quality amazing compared competition like ola tvs goes amazing well looking roghu though,0.9337,Positive
ATHER,rizta,"Awesome bike, simple you can go for it , smooth experience of buying,staff was good and polite,thank you for this good experience,hdieo skkshwb jgdofonsians jajsnsnisnse.....",5.0,awesome bike simple go smooth experience buyingstaff good politethank good experiencehdieo skkshwb jgdofonsians jajsnsnisnse,0.872,Positive
ATHER,rizta,"the ather rizta is a family oriented electirc scooter that combines practicality with modern features.its design is straight forward,featuring clean lines and a boxy appearance.....",4.5,ather rizta family oriented electirc scooter combines practicality modern featuresits design straight forwardfeaturing clean lines boxy appearance,0.5574,Positive
ATHER,rizta,Very low performance on echo mode. We have to ride it on Zip drive only. Useless use of echo mode. We have another ev iqube it is very good on echo as well as on zip mode......,4.0,low performance echo mode ride zip drive useless use echo mode another ev iqube good echo well zip mode,0.0258,Neutral
ATHER,rizta,"I bought Ather Rizta S, 2 month ago. And this the best electric scooter i could bought. I have driven this scooter around 2000 kms till now. Best thing about this scooter is,.....",5.0,bought ather rizta 2 month ago best electric scooter could bought driven scooter around 2000 kms till best thing scooter,0.8555,Positive
ATHER,rizta,It's need to be add more features for this price other than its best good looking bike for family and have a good space for goods,4.7,need add features price best good looking bike family good space goods,0.875,Positive
ATHER,rizta,Good nice ather Rizta 1.23 km Low priz only 1.44 lac Charging hub Best service good quality Nice look Other ev schoter better than ather,5.0,good nice ather rizta 123 km low priz 144 lac charging hub best service good quality nice look ev schoter better ather,0.9468,Positive
ATHER,rizta,"On the road experienced...... flying in the sky with Rizta. This is the fourth ather.....we own All are exceptionally good, Rizta...the best.",5.0,road experienced flying sky rizta fourth atherwe exceptionally good riztathe best,0.8251,Positive
ATHER,rizta,i tried a test drive in ather showroom and feel discomfort and the foot rest is so bad and propack is also a headache,4.2,tried test drive ather showroom feel discomfort foot rest bad propack also headache,-0.743,Negative
ATHER,rizta,"I recently made the switch to electric mobility with the Ather Rizta, and it's been a game-changer. The sleek design and vibrant color options instantly caught my eye, but it's.....",4.7,recently made switch electric mobility ather rizta gamechanger sleek design vibrant color options instantly caught eye,0.5267,Positive
ATHER,rizta,"Good as per milage, price and back up charge but disappoints at look in front part except that every thing Is good",4.3,good per milage price back charge disappoints look front part except every thing good,0.4939,Positive
ATHER,rizta,all in one bike in ev ather not by ola not by tvs only bay ather ather jesi koh bike hohi nahi sakti he,5.0,one bike ev ather ola tvs bay ather ather jesi koh bike hohi nahi sakti,0.0,Neutral
ATHER,rizta,"It is a very good Believe me it is worth of money.In this price range,best comfort best range safety etc..",4.7,good believe worth moneyin price rangebest comfort best range safety etc,0.9231,Positive
ATHER,rizta,Every thing is good about this Scotty in this price range milage also very nice overall very everything is going well,5.0,every thing good scotty price range milage also nice overall everything going well,0.7783,Positive
ATHER,rizta,Amazing scooter I purchased. All are superb however some feature are to be improved specifically add disk brake at back,4.8,amazing scooter purchased superb however feature improved specifically add disk brake back,0.9001,Positive
ATHER,rizta,Design price colour combination battery life battery safety vehicle motor ðŸ›µ all things is great and most important this is a made in india.,5.0,design price colour combination battery life battery safety vehicle motor ›µ things great important made india,0.8271,Positive
ATHER,rizta,The overall best ev in the electric scooter segments I have recently purchased and I am. Fully happy thankyou ather,4.3,overall best ev electric scooter segments recently purchased fully happy thankyou ather,0.8479,Positive
