brand,model_slug,text,rating
ATHER,450x,Ather is really reliable and a well performing bike with his reputation as I have this bike for a long time and till date it has been very reliable with accurate range on screen.....,4.7
ATHER,450x,My friend buy this scooter and we use it on a daily basis to travel here and there the scooter is greater it is quite reliable and efficient but the battery has started to drain.....,3.5
ATHER,450x,There is no problem in buying the ather 450x because the thing wich is use is full high quality and premium and best ev in the wold . It tel exact milage in the display so that.....,5
ATHER,450x,Best electric bike. Singe charge gives more milage Han other bike compare to this. I have this bike more than 8month. I recommend this bike to all my friends. I love this bike.....,4.7
ATHER,450x,"I bought ather 450x, exactly 2 years ago, in December 2022 Overall experience is good. Till now there are no problems 4 services done, total cost combined of 4 services comes.....",4.3
ATHER,450x,"A perfect scooter for daily use, it has good range, charging time is minimal, looks of the scooter is very compact and modern, which makes it the first choice of young users, it.....",5
ATHER,450x,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450x,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,450x,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450x,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450x,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,450x,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450x,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
