brand,model_slug,rating,text
ATHER,450x,4.7,Ather is really reliable and a well performing bike with his reputation as I have this bike for a long time and till date it has been very reliable with accurate range on screen.
ATHER,450x,3.5,My friend buy this scooter and we use it on a daily basis to travel here and there the scooter is greater it is quite reliable and efficient but the battery has started to drain.
ATHER,450x,5.0,There is no problem in buying the ather 450x because the thing wich is use is full high quality and premium and best ev in the wold . It tel exact milage in the display so that.
ATHER,450x,4.7,Best electric bike. Singe charge gives more milage Han other bike compare to this. I have this bike more than 8month. I recommend this bike to all my friends. I love this bike.
ATHER,450x,4.3,"I bought ather 450x, exactly 2 years ago, in December 2022 Overall experience is good. Till now there are no problems 4 services done, total cost combined of 4 services comes."
ATHER,450x,5.0,"A perfect scooter for daily use, it has good range, charging time is minimal, looks of the scooter is very compact and modern, which makes it the first choice of young users, it."
ATHER,450x,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450x,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450x,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450x,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450x,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,450x,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450x,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450x,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450x,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450x,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,rizta,4.0,"I purchased highest model ""Z SUPER MATTE-3.7 KwH"". I ride it 8 month ups. Ather & Arai giving wrong information about Mileage. they say 160km/1 time charge. when in reality Rizta."
ATHER,rizta,4.2,This is a nice ev scooty comfortable and safe easy to use also gives a good mileage and charges in 6-7 hours good to use can even used for delivery and rapido purpose nice product.
ATHER,rizta,4.7,Very good family scooter good staff and a practical scooter fulfills my needs it gives me a good riding range. The scooter has a spacious boot and the colours are very good the.
ATHER,rizta,4.7,This E bike give good km mileage in one charge. It is very comfortable in case of riding. For safety purpose it is also good and it is also have fast charging feature. It is.
ATHER,rizta,4.5,Great ev from ather one of the best in the segment performs at least 115 km per charge and the ride quality is optimum fo city chores overall nice ev it's the best I could've.
ATHER,rizta,4.8,Best scooter among the segment I think it's range could be better but it's best Compared from other scooters this scooter in this segment offer the disk breaks which is different.
ATHER,rizta,4.0,"I bought Ather Rizta from MST Motors, Aizawl, on 9th September 2024 and have ridden around 3600 km in six months. I had been wanting an Electric Scooter for a while, but the."
ATHER,rizta,4.8,Wonderful service by ather Already provided Fast charging station in nearby area Thanks ather to build this kind of ev scooter. Very suitable for Indian family and built.
ATHER,rizta,1.5,"I purchased this new scooter from shree sai taj energy Ca road nagpur two months ago, now scooter is not starting and not even showing on display completely blank, Showroom owner."
ATHER,rizta,5.0,Very nice bike and good milage very comfortable e bike I very like ather e bike Very smooth running experience Colour options many looking a smart bike and desining very.
ATHER,rizta,4.8,The ride experience is very good When u drive you just fly with the air. Best part of the vehicle is the riding modes I also drive the old ather ev i am happy with that But.
ATHER,rizta,4.7,Overall a good scooter ! The build quality is amazing as compared to competition like ola and tvs ! This goes amazing and well if you are looking for roghu and though and a.
ATHER,rizta,5.0,"Awesome bike, simple you can go for it , smooth experience of buying,staff was good and polite,thank you for this good experience,hdieo skkshwb jgdofonsians jajsnsnisnse."
ATHER,rizta,4.5,"the ather rizta is a family oriented electirc scooter that combines practicality with modern features.its design is straight forward,featuring clean lines and a boxy appearance."
ATHER,rizta,4.0,Very low performance on echo mode. We have to ride it on Zip drive only. Useless use of echo mode. We have another ev iqube it is very good on echo as well as on zip mode.
ATHER,rizta,5.0,"I bought Ather Rizta S, 2 month ago. And this the best electric scooter i could bought. I have driven this scooter around 2000 kms till now. Best thing about this scooter is,."
ATHER,rizta,4.7,It's need to be add more features for this price other than its best good looking bike for family and have a good space for goods
ATHER,rizta,5.0,Good nice ather Rizta 1.23 km Low priz only 1.44 lac Charging hub Best service good quality Nice look Other ev schoter better than ather
ATHER,rizta,5.0,"On the road experienced. flying in the sky with Rizta. This is the fourth ather.we own All are exceptionally good, Rizta.the best."
ATHER,rizta,4.2,i tried a test drive in ather showroom and feel discomfort and the foot rest is so bad and propack is also a headache
ATHER,rizta,4.7,"I recently made the switch to electric mobility with the Ather Rizta, and it's been a game-changer. The sleek design and vibrant color options instantly caught my eye, but it's."
ATHER,rizta,4.3,"Good as per milage, price and back up charge but disappoints at look in front part except that every thing Is good"
ATHER,rizta,5.0,all in one bike in ev ather not by ola not by tvs only bay ather ather jesi koh bike hohi nahi sakti he
ATHER,rizta,4.7,"It is a very good Believe me it is worth of money.In this price range,best comfort best range safety etc."
ATHER,rizta,5.0,Every thing is good about this Scotty in this price range milage also very nice overall very everything is going well
ATHER,rizta,4.8,Amazing scooter I purchased. All are superb however some feature are to be improved specifically add disk brake at back
ATHER,rizta,5.0,Design price colour combination battery life battery safety vehicle motor 🛵 all things is great and most important this is a made in india.
ATHER,rizta,4.3,The overall best ev in the electric scooter segments I have recently purchased and I am. Fully happy thankyou ather
ATHER,rizta,4.5,Good 👍 comfort seat and mileage affordable price in this segment in India better than ola electric scooter so buy this ather rizta
ATHER,rizta,4.5,Good 👍 comfort seat and mileage affordable price in this segment in India better than ola electric scooter so buy this ather rizta
ATHER,rizta,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,rizta,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,rizta,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,rizta,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,rizta,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,rizta,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,rizta,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
