brand,model_slug,review_date,rating_extracted,review_title,review_body,cleaned_review,sentiment_score,sentiment_label
byd,sealion-7,"Feb 21, 2025",5.0,The Black Sealion Has Flattered Me!,The black Sealion has flattered me in the first look itselt. It looked very premium luxury and high class standard experience for me. This has set a high benchmark for the upcoming cars in the segment. I couldn't stop me from sharing about the amount of useful features we get in the car. In the first look I thought the features could be some gimmic...Read More,black sealion flattered first look itselt looked premium luxury high class standard experience set high benchmark upcoming cars segment couldnt stop sharing amount useful features get car first look thought features could gimmicread,0.6194,Positive
byd,sealion-7,"Jan 13, 2025",4.5,Powerful And Tech Loaded BYD Sealion,"The Sealion 7 will surely be an amazing electric SUV. I am really excited about the advanced tech that it offers like the ADAS level 2. Coming with a price tag Rs 45 lakh, it is a premium offering, but with that big and powerful 230 kW motor and best in class luxury features, it feels worth it. I cant wait for the test drive. 3 1",sealion 7 surely amazing electric suv really excited advanced tech offers like adas level 2 coming price tag rs 45 lakh premium offering big powerful 230 kw motor best class luxury features feels worth cant wait test drive 3 1,0.9685,Positive
byd,sealion-7,"Jan 13, 2025",4.7,New BYD Sealion,"I have been keeping an eye on BYD cars and the Sealion 7 looks stunning. With estimate driving range of 483 km and 309 bhp of power sounds like an amazing combination. Plus, the 15.6-inch rotating screen and 9 airbags make it a perfect mix of tech and safety. BYD is definitely raising the bar with this fantastic car. Cant wait to drive it soon. 4",keeping eye byd cars sealion 7 looks stunning estimate driving range 483 km 309 bhp power sounds like amazing combination plus 156inch rotating screen 9 airbags make perfect mix tech safety byd definitely raising bar fantastic car cant wait drive soon 4,0.967,Positive
byd,seal,"May 02, 2025",4.2,Ground Clearence Is Very Less,It has appealing luxurious looking exterior and interior but the real pain point is the ground clearence which is extremely less for indian roads and will forever be an issue. otherwise its loaded with great features. a powerful car has a great range of 650km and pretty fast charging too. Do not worry about it being from chinese manufacturers. they...Read More,appealing luxurious looking exterior interior real pain point ground clearence extremely less indian roads forever issue otherwise loaded great features powerful car great range 650km pretty fast charging worry chinese manufacturers theyread,0.8402,Positive
byd,seal,"Apr 17, 2025",4.7,Great Car ! A Must Buy,Its value for money car in the automobile industry. It has a great road presence aswell.it has a great mileage aswell. It proves us fast charging. It has a low maintenance cost plus environment friendly as it is an electric vehicle. First time I am recommending to buy a car that is made in china. If you are considering this to buy just go for it.,value money car automobile industry great road presence aswellit great mileage aswell proves us fast charging low maintenance cost plus environment friendly electric vehicle first time recommending buy car made china considering buy go,0.9136,Positive
byd,seal,"Apr 08, 2025",5.0,Really Great Experience And Satisfied.,Really very luxurious experience. It's really good in feelings and worth of our coust. Each and every features are very useful and easy to handle way provided. It's tyre are also with the good performance. And also hard to forget the benifits of such a large bootspace. Inshort it's really good as per the latest generation.,really luxurious experience really good feelings worth coust every features useful easy handle way provided tyre also good performance also hard forget benifits large bootspace inshort really good per latest generation,0.9319,Positive
byd,seal,"Mar 12, 2025",4.5,Overall It's A Good Car.,Overall it's a good car. Driving experience is great. Comfort wise good. It's maintenance cost is little high. Safety wise 10/10. Road presence great. Looking wise it's fabulous. Overall is a premium Sedan.,overall good car driving experience great comfort wise good maintenance cost little high safety wise 1010 road presence great looking wise fabulous overall premium sedan,0.9841,Positive
byd,seal,"Mar 12, 2025",4.8,Why Buy A BYD Seal,I like this BYD Seal because it have very nice features like abs and it has very comfortable seat and 9 airbags it's mileage is also very nice and price of BYD Seal is also budgetable in top model variety,like byd seal nice features like abs comfortable seat 9 airbags mileage also nice price byd seal also budgetable top model variety,0.9287,Positive
byd,seal,"Dec 16, 2024",4.3,Amazing Car With Amazing Features,Amazing car with amazing and premium features. It offers you the best features in the segment. Best premium sedan ev. Everything is just futuristic and it also offers most power of 530bhp and 500 km of range,amazing car amazing premium features offers best features segment best premium sedan ev everything futuristic also offers power 530bhp 500 km range,0.9517,Positive
byd,seal,"Nov 30, 2024",4.7,"Seal Performance, What It Lacks","Exceptional torque and bhp translating on road is a big thumbs up, ground clearance is a miss but that's so with amg series or bmw m series too Personally speaking spoke like alloys arefar better symmetrically, level 2 adas replacing with 3 could be better but a car with similar engine specs are no less than 1.5 cr in india, manual buttons for ac m...Read More",exceptional torque bhp translating road big thumbs ground clearance miss thats amg series bmw series personally speaking spoke like alloys arefar better symmetrically level 2 adas replacing 3 could better car similar engine specs less 15 cr india manual buttons ac mread,0.7717,Positive
byd,seal,"Nov 18, 2024",5.0,BUT INCREASE SOME MILEAGE ITS 500 CHANGE TO 650,I LOVE THIS CAR I NEVER FEEL WHEN I DRIVE AUDI A6 BECAUSE THAT MUCH OF COMFORT WHRN I DRIVE THIS CAR RATING OF SAFTEY 5OUT OF 5 BUT DELIVERY IN ALL INDIA,love car never feel drive audi a6 much comfort whrn drive car rating saftey 5out 5 delivery india,0.7717,Positive
byd,seal,"Nov 01, 2024",3.8,Styling And Features,"Looks are crazy, and like other EV cars okay to drive in city I can visit my sister home that is 154 km single side features seems cool ,,,and all people one thing pinch me is that it's a Chinese automobile",looks crazy like ev cars okay drive city visit sister home 154 km single side features seems cool people one thing pinch chinese automobile,0.5106,Positive
byd,seal,"Oct 27, 2024",4.5,Better Than Other,Better than other in safety features and less cost in maintaining and showroom price but one other thing is to be mnid it is a Chinese company which harmful to India,better safety features less cost maintaining showroom price one thing mnid chinese company harmful india,0.6908,Positive
byd,seal,"Oct 18, 2024",3.7,Overall Looks And Styling Are Good,Overall Looks And Styling and Features Are Very Good But This is Chinese Brand and We Always Have Trust issues and I don?t think soo that this vehicle is Reliable if i spend 50-60 lacs on cars so i will Prefer Reliable Car Like Toyota,overall looks styling features good chinese brand always trust issues dont think soo vehicle reliable spend 5060 lacs cars prefer reliable car like toyota,0.8271,Positive
byd,seal,"Oct 01, 2024",4.7,Stunning Car,Such a great car with great futuristic features and with stunning safety features. Its charging speed is great and acceleration is mind blowing it overall becomes a great car and most important its eco-friendly electronic car,great car great futuristic features stunning safety features charging speed great acceleration mind blowing overall becomes great car important ecofriendly electronic car,0.9738,Positive
byd,seal,"Sep 24, 2024",4.5,Quality Test,Good for the city and village and it provide the best luxury look and massive look so that's why I bought that car and you know they provide the best vibes,good city village provide best luxury look massive look thats bought car know provide best vibes,0.9062,Positive
