brand,model_slug,review,rating
byd,sealion-7,"J
Jareer P On Feb 21, 2025
5
The Black Sealion Has Flattered Me!
The black Sealion has flattered me in the first look itselt. It looked very premium luxury and high class standard experience for me. This has set a high benchmark for the upcoming cars in the segment. I couldn't stop me from sharing about the amount of useful features we get in the car. In the first look I thought the features could be some gimmic...Read More",
byd,sealion-7,"A
Abhishek On Jan 13, 2025
4.5
Powerful And Tech Loaded BYD Sealion
The Sealion 7 will surely be an amazing electric SUV. I am really excited about the advanced tech that it offers like the ADAS level 2. Coming with a price tag Rs 45 lakh, it is a premium offering, but with that big and powerful 230 kW motor and best in class luxury features, it feels worth it. I cant wait for the test drive.
3
1",
byd,sealion-7,"P
Puran On Jan 13, 2025
4.7
New BYD Sealion
I have been keeping an eye on BYD cars and the Sealion 7 looks stunning. With estimate driving range of 483 km and 309 bhp of power sounds like an amazing combination. Plus, the 15.6-inch rotating screen and 9 airbags make it a perfect mix of tech and safety. BYD is definitely raising the bar with this fantastic car. Cant wait to drive it soon.
4",
byd,seal,"P
Priyanshu On May 02, 2025
4.2
Ground Clearence Is Very Less
It has appealing luxurious looking exterior and interior but the real pain point is the ground clearence which is extremely less for indian roads and will forever be an issue. otherwise its loaded with great features. a powerful car has a great range of 650km and pretty fast charging too. Do not worry about it being from chinese manufacturers. they...Read More",
byd,seal,"A
Anmol Bhardwaj On Apr 17, 2025
4.7
Great Car ! A Must Buy
Its value for money car in the automobile industry. It has a great road presence aswell.it has a great mileage aswell. It proves us fast charging. It has a low maintenance cost plus environment friendly as it is an electric vehicle. First time I am recommending to buy a car that is made in china. If you are considering this to buy just go for it.",
byd,seal,"P
Prajapati Manish On Apr 08, 2025
5
Really Great Experience And Satisfied.
Really very luxurious experience. It's really good in feelings and worth of our coust. Each and every features are very useful and easy to handle way provided. It's tyre are also with the good performance. And also hard to forget the benifits of such a large bootspace. Inshort it's really good as per the latest generation.",
byd,seal,"C
Chinmay Sharma On Mar 12, 2025
4.5
Overall It's A Good Car.
Overall it's a good car. Driving experience is great. Comfort wise good. It's maintenance cost is little high. Safety wise 10/10. Road presence great. Looking wise it's fabulous. Overall is a premium Sedan.",
byd,seal,"U
User On Mar 12, 2025
4.8
Why Buy A BYD Seal
I like this BYD Seal because it have very nice features like abs and it has very comfortable seat and 9 airbags it's mileage is also very nice and price of BYD Seal is also budgetable in top model variety",
byd,seal,"S
Shashwat Khanna On Dec 16, 2024
4.3
Amazing Car With Amazing Features
Amazing car with amazing and premium features. It offers you the best features in the segment. Best premium sedan ev. Everything is just futuristic and it also offers most power of 530bhp and 500 km of range",
byd,seal,"Y
Yatish Chandra On Nov 30, 2024
4.7
Seal Performance, What It Lacks
Exceptional torque and bhp translating on road is a big thumbs up, ground clearance is a miss but that's so with amg series or bmw m series too Personally speaking spoke like alloys arefar better symmetrically, level 2 adas replacing with 3 could be better but a car with similar engine specs are no less than 1.5 cr in india, manual buttons for ac m...Read More",
byd,seal,"K
Kt Kt Lvr On Nov 18, 2024
5
BUT INCREASE SOME MILEAGE ITS 500 CHANGE TO 650
I LOVE THIS CAR I NEVER FEEL WHEN I DRIVE AUDI A6 BECAUSE THAT MUCH OF COMFORT WHRN I DRIVE THIS CAR RATING OF SAFTEY 5OUT OF 5 BUT DELIVERY IN ALL INDIA",
byd,seal,"A
Aaditiya On Nov 01, 2024
3.8
Styling And Features
Looks are crazy, and like other EV cars okay to drive in city I can visit my sister home that is 154 km single side features seems cool ,,,and all people one thing pinch me is that it's a Chinese automobile",
byd,seal,"M
Modak On Oct 27, 2024
4.5
Better Than Other
Better than other in safety features and less cost in maintaining and showroom price but one other thing is to be mnid it is a Chinese company which harmful to India",
byd,seal,"M
Manish On Oct 18, 2024
3.7
Overall Looks And Styling Are Good
Overall Looks And Styling and Features Are Very Good But This is Chinese Brand and We Always Have Trust issues and I don?t think soo that this vehicle is Reliable if i spend 50-60 lacs on cars so i will Prefer Reliable Car Like Toyota",
byd,seal,"V
Vivek On Oct 01, 2024
4.7
Stunning Car
Such a great car with great futuristic features and with stunning safety features. Its charging speed is great and acceleration is mind blowing it overall becomes a great car and most important its eco-friendly electronic car",
byd,seal,"R
Raval Shreyansh On Sep 24, 2024
4.5
Quality Test
Good for the city and village and it provide the best luxury look and massive look so that's why I bought that car and you know they provide the best vibes",
byd,seal,"U
User On Sep 23, 2024
4.3
40 To 60 Lacks BYD Seal Is The Best Electric Car
BYD seal is the best electric car and the features are so good and colour white, black, grey very attractive Design and entering so good .40 to 60 lacks BYD Seal is the best electric car",
byd,seal,"S
Salman Hafis On Sep 23, 2024
5
Car Is Very Good And Not Expensive
Good and smooth car which is very cheap to buy with more option this company is very good reliable in this price should upgrade the mileage little bit more in this car",
byd,seal,"T
Tanishq Tyagi On Aug 22, 2024
5
Design And Aesthetics
Design and Aesthetics: The BYD Seal stands out with its sleek, contemporary design that conveys both sophistication and style. Its aerodynamic contours enhance efficiency and give it a commanding presence on the road. Inside, the car continues to impress with high-quality materials and a minimalist yet practical layout. The spacious cabin features ...Read More
1",
byd,seal,"R
Ranjith On Jun 25, 2024
4
Elegance Electrified With BYD Seal
For my environmental way of living, the BYD Seal has been a great decision. My everyday Mumbai travel would be ideal for an electric vehicle. Impressive range is offered by the elegant design and strong electric motor. Every drive is fun because of the opulent inside and sophisticated technologies. The Seal stands out as a car with fast charging ca...Read More",
byd,seal,"J
Jagjeet On Jun 21, 2024
4
Impressive Quality And Long Range
I hope BYD manufacture their cars in india so that everyone can afford becuase their cars are better with good battery technology and BYD Seal gives a long driving range also is a well liked car in its class but low ground clearance is big no for indian roads. The driving experience is truly remarkable and the interior is very impressive with large...Read More",
byd,seal,"K
Kapil On Jun 19, 2024
4
Great Luxury And Comfort
I drove this car last month in Mumbai with traffic and on the highway, oh god it is a great car and luxury and comfort makes it is a good value for money. The acceleration and steering gives a lot of confidence so it is a great car with good technology of battery and it gives tight comptitions to the luxury cars in the price segment. The driving ex...Read More",
